RS (RPM),TS (mm/min),UTS (Mpa)
500,20,178
500,40,172
500,63,152
500,100,79
710,63,181
710,20,199
710,80,160
710,100,110
735,216,224.67
735,290,203
700,63,169.3
800,45,178
800,28,164
800,36.5,158
800,28,155
800,45,161
900,63,196.96
1000,45,169
1000,28,145
1000,36.5,155.57
1000,100,143
1000,216,223.67
1000,290,230
1000,63,203
1000,20,220
1000,40,216
1000,80,182
1100,63,188.4
1200,45,160
1200,28,166.5
1200,20,228.42
1200,25,241.85
1200,35,240.08
1200,30,244.86
1400,100,170
1400,20,238
1400,40,242
1400,63,225
1400,63,182.96
1500,216,198.5
1500,290,197
1500,216,238
1500,216,238
1500,360,214
1950,30,239.45
1950,20,222.66
1950,25,225.98
1950,35,247.2
2000,100,192
2000,20,215
2000,40,242
2000,63,260
2000,80,220
2000,100,192
3080,20,209.24
3080,25,221.94
3080,30,233.64
4600,20,202.67
4600,25,213.96
4600,35,213.68
